census_tract,county,location,population,PollutionScore,pm25,diesel_pm,traffic_density,ozone,asthma,cardiovascular_disease,diabetes,low_birth_weight
6001400100,Alameda,Berkeley,3094,4.369906448,7.135386603,0.0957385,934.715,0.029250507,17.36,7.29,9.1,7.03
6001400200,Alameda,Oakland,2093,5.046525354,7.348712921,0.171673487,1753.647,0.028515942,20.69,7.04,7.0,4.13
6001400300,Alameda,Oakland,5727,4.971513032,7.446539164,0.1553872,1617.707,0.028515942,26.72,7.51,7.4,4.51
6001400400,Alameda,Oakland,4395,4.986182729,7.451337814,0.160766951,1253.706,0.028515942,37.93,8.89,6.5,3.06
6001400500,Alameda,Oakland,3822,4.496636324,7.451337814,0.133438624,484.944,0.028515942,49.55,9.87,7.2,5.5
6001400600,Alameda,Oakland,1957,4.961164956,7.491271973,0.165274092,2178.173,0.028515942,53.81,10.46,7.1,4.64
6001400700,Alameda,Emeryville,4404,5.455871269,7.636166096,0.156656942,541.675,0.02814261,60.82,8.86,7.9,5.54
6001400800,Alameda,Emeryville,4583,5.219636401,7.758163929,0.082904671,451.228,0.02814261,61.19,8.49,7.9,6.49
6001400900,Alameda,Emeryville,2752,5.893962027,7.636166096,0.174906742,330.312,0.02814261,63.95,8.38,7.5,10.87
6001401000,Alameda,Emeryville,6529,6.102963286,7.654388905,0.334390143,1347.604,0.02814261,60.64,9.06,7.3,6.14
6001401100,Alameda,Oakland,5627,5.749499832,7.539982796,0.238908699,1384.999,0.02814261,53.26,10.4,6.1,5.28
6001401200,Alameda,Oakland,3068,5.387505785,7.539982796,0.189115909,586.059,0.02814261,50.56,10.08,6.1,4.98
6001401300,Alameda,Oakland,4368,6.023960828,7.578202248,0.55050413,1326.358,0.02814261,58.85,8.78,8.2,4.07
6001401400,Alameda,Emeryville,4876,7.149188038,7.623111248,0.411078743,1538.734,0.02814261,61.24,8.86,10.3,8.22
6001401500,Alameda,Emeryville,2827,6.79276752,7.644100666,0.18623622,922.994,0.02814261,66.24,8.48,9.5,5.2
6001401600,Alameda,Oakland,2617,6.811966827,7.644100666,0.177355941,630.378,0.02814261,75.12,8.72,8.5,5.68
6001401700,Alameda,Oakland,3519,6.853906482,8.059798241,1.139063672,2538.271,0.02814261,73.31,8.78,8.0,5.61
6001401800,Alameda,Oakland,1816,6.494727129,7.787267685,0.337434095,276.449,0.02814261,77.79,8.97,7.9,7.75
6001402200,Alameda,Oakland,2385,7.245837142,7.873291016,0.58367154,1070.55,0.02814261,77.79,8.97,9.2,5.3
6001402400,Alameda,Oakland,2727,6.350037969,7.649139881,0.143878893,407.194,0.02814261,77.79,8.97,14.1,7.75
6001402500,Alameda,Oakland,1877,7.026406424,7.812970638,0.376440555,889.925,0.02814261,77.79,8.97,12.4,11.0
6001402600,Alameda,Oakland,1255,6.341123025,7.812970638,0.517797202,1196.081,0.02814261,74.45,8.46,17.4,5.88
6001402700,Alameda,Oakland,2056,6.611273653,7.666647911,0.353898258,934.299,0.02814261,72.54,8.17,8.5,8.0
6001402801,Alameda,Oakland,2911,5.788858531,7.666647911,1.027783186,663.882,0.02814261,64.42,6.92,8.6,8.55
6001402900,Alameda,Oakland,2111,5.767085079,7.885183334,0.938665478,413.807,0.02814261,64.42,6.92,12.8,6.32
6001403000,Alameda,Oakland,3125,6.025192933,7.805913925,0.943141004,962.944,0.02814261,75.29,8.59,20.9,8.25
6001403100,Alameda,Oakland,2174,6.00346685,7.805913925,0.85836353,1145.853,0.02814261,75.37,8.6,9.5,5.56
6001403301,Alameda,Oakland,1807,6.117633433,8.243556976,0.925226315,1095.338,0.02814261,76.99,8.85,17.3,4.12
6001403302,Alameda,Oakland,2687,6.195118758,8.243556976,0.499131796,1230.89,0.02814261,77.3,9.02,5.4,8.05
6001403401,Alameda,Oakland,2641,5.627445443,7.885183334,0.272872706,423.043,0.02814261,63.73,7.18,10.3,8.4
6001403402,Alameda,Oakland,955,5.430679344,7.885183334,0.87289283,353.783,0.02814261,66.14,7.18,7.3,7.61
6001403501,Alameda,Oakland,5421,5.595127874,7.730716228,0.440914697,871.229,0.02814261,39.49,7.03,8.0,5.38
6001403502,Alameda,Oakland,1885,5.408808028,7.730716228,0.393936623,1436.305,0.02814261,30.96,7.37,6.0,7.09
6001403600,Alameda,Oakland,4902,5.444978941,7.594585896,0.233673574,2305.891,0.02814261,34.01,7.83,6.8,4.73
6001403701,Alameda,Oakland,2875,4.795050804,7.730716228,0.221233902,497.759,0.02814261,37.58,7.72,7.7,3.65
6001403702,Alameda,Oakland,2264,5.335401489,7.594585896,0.200399762,1736.185,0.02814261,36.3,8.01,7.3,3.42
6001403800,Alameda,Oakland,3996,4.573899704,7.489187717,0.107487302,1068.621,0.02814261,33.78,7.81,7.2,7.07
6001403900,Alameda,Oakland,3864,4.815773982,7.45396471,0.126627219,1744.468,0.02814261,30.89,7.54,6.6,4.37
6001404000,Alameda,Oakland,2984,4.865152418,7.45396471,0.22235356,849.557,0.02814261,25.5,7.08,6.6,6.17
6001404101,Alameda,Oakland,3155,3.690959172,7.440168381,0.079048372,414.826,0.02814261,28.56,7.45,6.8,1.81
6001404102,Alameda,Oakland,2623,3.660928936,7.45396471,0.087070746,427.381,0.02814261,25.37,7.07,8.5,4.1
6001404200,Alameda,Oakland,3584,4.346784661,7.291156928,0.061028965,1414.067,0.028515942,19.0,6.63,7.3,4.51
6001404300,Alameda,Oakland,3510,4.437655065,7.271649361,0.212099433,1928.755,0.028515942,18.42,6.65,8.0,4.45
6001404400,Alameda,Oakland,5657,3.539194433,7.077786922,0.127860874,2081.451,0.029250507,22.08,6.85,8.0,5.78
6001404501,Alameda,Oakland,1830,3.715112298,7.225663662,0.067379717,1572.209,0.028885227,23.83,6.89,8.2,4.63
6001404502,Alameda,Oakland,6038,3.515896242,7.029045343,0.049826615,981.239,0.029250507,23.54,6.85,7.5,3.33
6001404600,Alameda,Oakland,4767,3.514122392,7.03829565,0.041172654,990.412,0.029250507,26.27,7.08,8.4,3.33
6001404700,Alameda,Oakland,2223,3.760321741,7.216067314,0.072283683,1304.433,0.028885227,37.12,7.94,8.1,8.97
6001404800,Alameda,Oakland,2622,3.254636128,7.397690296,0.047477134,334.539,0.028515942,41.3,8.27,9.2,6.98
6001404900,Alameda,Oakland,4798,4.775686876,7.520214081,0.108726129,1686.735,0.02814261,41.06,8.26,9.2,3.21
6001405000,Alameda,Oakland,3670,4.327478411,7.422410488,0.057990295,1416.429,0.02814261,36.71,7.98,8.1,5.33
6001405100,Alameda,Oakland,4451,4.114988461,7.455799103,0.054946825,1073.84,0.02814261,33.42,7.77,8.6,7.06
6001405200,Alameda,Oakland,4916,5.487162942,7.610836506,0.107227103,1697.739,0.02814261,48.98,9.0,8.3,3.8
6001405301,Alameda,Oakland,2934,4.191351721,7.721553326,0.085618068,374.708,0.02814261,60.83,9.92,6.7,6.03
6001405302,Alameda,Oakland,2560,5.614797769,7.721553326,0.192485462,333.471,0.02814261,65.66,10.15,11.2,3.62
6001405401,Alameda,Oakland,3733,5.608696803,7.981669903,0.111529035,308.835,0.02814261,64.79,10.23,9.9,4.38
6001405402,Alameda,Oakland,3325,5.7618027,7.981669903,0.138927963,283.424,0.02814261,64.79,10.23,12.0,8.7
6001405500,Alameda,Oakland,3574,4.754166329,7.807017326,0.062004978,292.593,0.02814261,64.79,10.23,9.6,8.1
6001405600,Alameda,Oakland,3153,5.132940252,7.610836506,0.125128781,1324.012,0.02814261,51.79,9.22,9.7,4.89
6001405700,Alameda,Oakland,3553,5.198446242,7.61452055,0.112775405,1589.671,0.02814261,51.05,9.18,12.3,5.35
6001405800,Alameda,Oakland,4329,4.457201637,7.807017326,0.042047698,346.344,0.02814261,65.05,10.66,12.6,5.68
6001405901,Alameda,Oakland,4206,6.100511164,7.895016193,0.231620036,315.723,0.02814261,65.01,10.6,13.0,5.86
6001405902,Alameda,Oakland,2994,5.596108112,7.807017326,0.100209332,286.939,0.02814261,64.79,10.23,13.3,8.41
6001406000,Alameda,Oakland,4638,7.084138429,7.986445427,0.43589092,1715.884,0.02814261,65.45,10.36,11.9,9.09
6001406100,Alameda,Oakland,5379,7.099000381,7.848654032,0.454414648,1646.631,0.02814261,66.51,13.09,11.5,8.29
6001406201,Alameda,Oakland,5191,5.874625761,7.625162125,0.379782759,330.387,0.02814261,66.55,13.15,13.0,7.28
6001406202,Alameda,Oakland,4958,5.99262776,7.625162125,0.18367018,390.737,0.02814261,66.59,13.21,12.2,7.03
6001406300,Alameda,Oakland,4529,4.863018218,7.625162125,0.050372679,324.831,0.02814261,66.32,12.77,13.0,6.84
6001406400,Alameda,Oakland,2456,5.111943413,7.61452055,0.069353935,2060.159,0.02814261,57.44,11.11,14.7,4.48
6001406500,Alameda,Oakland,6405,5.297853419,7.502849102,0.077344606,428.6,0.02814261,61.98,12.31,12.2,5.18
6001406601,Alameda,Oakland,4476,4.656662431,7.420428276,0.100147529,2043.926,0.028515942,44.58,8.83,11.1,6.67
6001406602,Alameda,Oakland,2638,4.792558041,7.492058754,0.083901932,2149.508,0.02814261,41.3,8.27,11.8,8.53
6001406700,Alameda,Oakland,5718,4.064696783,7.355895996,0.058355198,1166.742,0.028515942,41.3,8.27,8.8,4.27
6001406800,Alameda,Oakland,3905,4.470703045,7.201588631,0.084012986,1472.288,0.028885227,45.54,8.78,9.3,6.34
6001406900,Alameda,Oakland,4535,3.954591408,7.336650848,0.066769028,931.944,0.028885227,50.03,9.32,9.4,6.41
6001407000,Alameda,Oakland,6315,4.811103999,7.449713707,0.079179621,1751.161,0.028515942,51.45,9.73,11.9,7.73
6001407101,Alameda,Oakland,3547,4.740420121,7.502849102,0.045467811,383.879,0.02814261,66.59,13.21,14.0,8.41
6001407102,Alameda,Oakland,4464,5.360734446,7.502849102,0.049804693,399.846,0.02814261,65.03,12.84,12.5,7.18
6001407200,Alameda,Oakland,6483,6.606562916,7.654201984,0.208370563,457.216,0.02814261,66.59,13.21,11.7,6.38
6001407300,Alameda,Oakland,2401,7.605596172,7.765455961,0.302375511,1576.824,0.02814261,74.65,14.39,11.1,5.32
6001407400,Alameda,Oakland,4268,6.126184363,7.614459991,0.107361009,471.185,0.02814261,70.08,13.72,11.6,6.44
6001407500,Alameda,Oakland,3687,4.853989656,7.614459991,0.083623366,419.091,0.02814261,87.76,16.22,12.8,8.32
6001407600,Alameda,Oakland,6793,5.111427881,7.560105324,0.062976944,374.119,0.02814261,63.51,12.49,10.3,7.02
6001407700,Alameda,Oakland,4261,3.329851527,7.459962845,0.048702097,326.952,0.028515942,67.3,12.54,9.9,8.36
6001407800,Alameda,Oakland,2710,4.679129987,7.392615795,0.103059079,2533.853,0.028885227,57.16,10.56,8.7,7.1
6001407900,Alameda,Oakland,3101,4.582638349,7.375741005,0.091513786,2558.866,0.028885227,51.32,9.54,8.4,5.88
6001408000,Alameda,Oakland,2767,3.254783235,7.147965431,0.04854799,1118.364,0.029250507,46.63,8.91,9.7,2.05
6001408100,Alameda,Oakland,7552,3.164551851,7.108630074,0.026413175,1290.156,0.029611826,70.87,13.03,9.9,5.14
6001408200,Alameda,Oakland,4743,3.476132473,7.376136303,0.04694828,486.701,0.028885227,90.52,16.36,10.2,6.37
6001408300,Alameda,Oakland,4555,4.684998083,7.363715649,0.129508789,2295.218,0.029250507,90.52,16.36,9.8,8.63
6001408400,Alameda,Oakland,4098,3.441636612,7.413083553,0.035752708,383.089,0.029250507,90.52,16.36,11.8,7.75
